Gage   Filename  Threshold(cfs)  Start          End   Over/Under   Num_Days  AveFlow(cfs)
     2  H1.gg1   0.25  17-May-2014     22-May-2014   U         6         0.09
     2  H1.gg1   0.25  23-May-2014     24-May-2014   O         2         1.10
     2  H1.gg1   0.25  25-May-2014     03-Nov-2014   U       163         0.00
     2  H1.gg1   0.25  04-Nov-2014     23-Jun-2015   O       232       163.00
     2  H1.gg1   0.25  24-Jun-2015     01-Oct-2015   U       100         0.01
    10  HI.gg9   0.25  02-Oct-1991     04-Dec-1991   O        64         0.43
    10  HI.gg9   0.25  05-Dec-1991     07-Dec-1991   U         3         0.24
    10  HI.gg9   0.25  08-Dec-1991     16-Dec-1991   O         9         0.29
    10  HI.gg9   0.25  17-Dec-1991     19-Dec-1991   U         3         0.24
    10  HI.gg9   0.25  20-Dec-1991     24-Apr-1992   O       127         1.55
    10  HI.gg9   0.25  25-Apr-1992     31-Oct-1992   U       190         0.05
    10  HI.gg9   0.25  01-Nov-1992     03-Nov-1992   O         3         0.30
    10  HI.gg9   0.25  04-Nov-1992     04-Dec-1992   U        31         0.10
    10  HI.gg9   0.25  05-Dec-1992     01-Jun-1993   O       179         2.95
    10  HI.gg9   0.25  02-Jun-1993     05-Jun-1993   U         4         0.24
    10  HI.gg9   0.25  06-Jun-1993     15-Jun-1993   O        10         0.34
    10  HI.gg9   0.25  16-Jun-1993     12-Nov-1993   U       150         0.02
    10  HI.gg9   0.25  13-Nov-1993     23-Nov-1993   O        11         0.63
    10  HI.gg9   0.25  24-Nov-1993     28-Nov-1993   U         5         0.19
    10  HI.gg9   0.25  29-Nov-1993     08-Dec-1993   O        10         0.43
    10  HI.gg9   0.25  09-Dec-1993     10-Dec-1993   U         2         0.23
    10  HI.gg9   0.25  11-Dec-1993     27-Dec-1993   O        17         0.70
    10  HI.gg9   0.25  28-Dec-1993     24-Jan-1994   U        28         0.14
    10  HI.gg9   0.25  25-Jan-1994     12-Mar-1994   O        47         1.33
    10  HI.gg9   0.25  13-Mar-1994     26-Mar-1994   U        14         0.16
    10  HI.gg9   0.25  27-Mar-1994     28-Mar-1994   O         2         0.30
    10  HI.gg9   0.25  29-Mar-1994     25-Apr-1994   U        28         0.12
    10  HI.gg9   0.25  26-Apr-1994     25-May-1994   O        30         0.51
    10  HI.gg9   0.25  26-May-1994     06-Oct-1994   U       134         0.02
    10  HI.gg9   0.25  07-Oct-1994     12-Oct-1994   O         6         0.41
    10  HI.gg9   0.25  13-Oct-1994     10-Nov-1994   U        29         0.09
    10  HI.gg9   0.25  11-Nov-1994     09-Dec-1994   O        29         0.45
    10  HI.gg9   0.25  10-Dec-1994     12-Dec-1994   U         3         0.23
    10  HI.gg9   0.25  13-Dec-1994     04-Jul-1995   O       204         2.88
    10  HI.gg9   0.25  05-Jul-1995     13-Dec-1995   U       162         0.02
    10  HI.gg9   0.25  14-Dec-1995     09-Jan-1996   O        27         1.29
    10  HI.gg9   0.25  10-Jan-1996     17-Jan-1996   U         8         0.18
    10  HI.gg9   0.25  18-Jan-1996     30-Apr-1996   O       104         1.55
    10  HI.gg9   0.25  01-May-1996     16-May-1996   U        16         0.14
    10  HI.gg9   0.25  17-May-1996     31-May-1996   O        15         0.87
    10  HI.gg9   0.25  01-Jun-1996     30-Oct-1996   U       152         0.02
    10  HI.gg9   0.25  31-Oct-1996     09-Nov-1996   O        10         0.44
    10  HI.gg9   0.25  10-Nov-1996     17-Nov-1996   U         8         0.16
    10  HI.gg9   0.25  18-Nov-1996     02-Apr-1997   O       136         1.71
    10  HI.gg9   0.25  03-Apr-1997     12-Nov-1997   U       224         0.02
    10  HI.gg9   0.25  13-Nov-1997     30-Dec-1997   O        48         1.71
    10  HI.gg9   0.25  31-Dec-1997     03-Jan-1998   U         4         0.21
    10  HI.gg9   0.25  04-Jan-1998     10-Jul-1998   O       188         6.07
    10  HI.gg9   0.25  11-Jul-1998     12-Nov-1998   U       125         0.04
    10  HI.gg9   0.25  13-Nov-1998     17-Nov-1998   O         5         0.37
    10  HI.gg9   0.25  18-Nov-1998     28-Nov-1998   U        11         0.15
    10  HI.gg9   0.25  29-Nov-1998     29-Dec-1998   O        31         0.85
    10  HI.gg9   0.25  30-Dec-1998     20-Jan-1999   U        22         0.12
    10  HI.gg9   0.25  21-Jan-1999     30-Apr-1999   O       100         1.06
    10  HI.gg9   0.25  01-May-1999     09-Nov-1999   U       193         0.02
    10  HI.gg9   0.25  10-Nov-1999     16-Nov-1999   O         7         0.51
    10  HI.gg9   0.25  17-Nov-1999     18-Nov-1999   U         2         0.24
    10  HI.gg9   0.25  20-Nov-1999     21-Nov-1999   U         2         0.24
    10  HI.gg9   0.25  22-Nov-1999     26-Nov-1999   O         5         0.34
    10  HI.gg9   0.25  27-Nov-1999     17-Jan-2000   U        52         0.08
    10  HI.gg9   0.25  18-Jan-2000     11-Apr-2000   O        85         1.79
    10  HI.gg9   0.25  12-Apr-2000     15-Apr-2000   U         4         0.24
    10  HI.gg9   0.25  16-Apr-2000     06-May-2000   O        21         0.79
    10  HI.gg9   0.25  07-May-2000     17-May-2000   U        11         0.20
    10  HI.gg9   0.25  18-May-2000     19-May-2000   O         2         0.28
    10  HI.gg9   0.25  20-May-2000     11-Oct-2000   U       145         0.03
    10  HI.gg9   0.25  12-Oct-2000     19-Oct-2000   O         8         0.50
    10  HI.gg9   0.25  20-Oct-2000     26-Oct-2000   U         7         0.17
    10  HI.gg9   0.25  27-Oct-2000     16-Nov-2000   O        21         0.70
    10  HI.gg9   0.25  17-Nov-2000     09-Jan-2001   U        54         0.08
    10  HI.gg9   0.25  10-Jan-2001     09-May-2001   O       120         1.30
    10  HI.gg9   0.25  10-May-2001     13-Nov-2001   U       188         0.02
    10  HI.gg9   0.25  14-Nov-2001     16-Jan-2002   O        64         1.26
    10  HI.gg9   0.25  17-Jan-2002     29-Jan-2002   U        13         0.18
    10  HI.gg9   0.25  30-Jan-2002     04-Feb-2002   O         6         0.35
    10  HI.gg9   0.25  05-Feb-2002     20-Feb-2002   U        16         0.18
    10  HI.gg9   0.25  21-Feb-2002     02-Mar-2002   O        10         0.53
    10  HI.gg9   0.25  03-Mar-2002     07-Mar-2002   U         5         0.20
    10  HI.gg9   0.25  08-Mar-2002     14-Mar-2002   O         7         0.37
    10  HI.gg9   0.25  15-Mar-2002     17-Mar-2002   U         3         0.22
