FID_hru_pa,ORIG_FID,HRU_ID,HRUTYPE_IN,HRU_ROW,HRU_COL,HRU_X,HRU_Y,X,Y,Unique_ID,Lay1_Zn,Lay2_Zn,Lay3_Zn
86625,86277,46896,1,116,206,616050,4036450,616090.00,4036490.00,300,0,2,10
72736,72452,60679,1,150,185,613950,4033050,613973.00,4033070.00,301,0,2,10
105282,108142,24913,1,62,147,610150,4041850,610112.00,4041800.00,382,1,4,10
105284,108155,24926,1,62,160,611450,4041850,611459.00,4041880.00,390,1,2,10
94482,94380,38759,1,96,189,614350,4038450,614385.00,4038480.00,304,0,6,10
95763,95195,37950,1,94,192,614650,4038650,614629.00,4038670.00,305,0,6,10
105246,107716,25299,1,63,127,608150,4041750,608177.00,4041760.00,483,1,5,10
105247,107722,25305,1,63,133,608750,4041750,608721.00,4041800.00,398,1,5,10
86980,86656,46463,1,115,179,613350,4036550,613376.00,4036540.00,308,0,4,10
105258,107760,25343,1,63,171,612550,4041750,612543.00,4041770.00,345,1,2,10
95763,95195,37950,1,94,192,614650,4038650,614630.00,4038670.00,310,0,6,10
96500,96024,37155,1,92,209,616350,4038850,616310.00,4038810.00,311,0,5,10
84330,84252,48931,1,121,211,616550,4035950,616505.00,4035970.00,312,0,6,10
107485,107324,25719,1,64,141,609550,4041650,609573.00,4041680.00,381,1,2,10
93419,93164,39979,1,99,191,614550,4038150,614587.00,4038170.00,314,0,6,10
88851,88709,44456,1,110,202,615650,4037050,615679.00,4037090.00,315,0,8,10
79809,79784,53395,1,132,209,616350,4034850,616359.00,4034840.00,316,0,4,10
78015,77750,55421,1,137,205,615950,4034350,615957.00,4034340.00,317,0,2,10
105226,107335,25730,1,64,152,610650,4041650,610696.00,4041610.00,444,1,5,10
96472,95992,37123,1,92,177,613150,4038850,613164.00,4038870.00,319,0,6,10
87750,87498,45681,1,113,209,616350,4036750,616337.00,4036770.00,320,0,6,10
107122,106934,26141,1,65,157,611150,4041550,611150.00,4041540.00,425,1,5,10
112192,111943,21406,1,53,294,624850,4042750,624848.00,4042750.00,322,0,9,10
105198,106940,26147,1,65,163,611750,4041550,611715.00,4041570.00,388,1,2,10
105198,106940,26147,1,65,163,611750,4041550,611707.00,4041580.00,389,1,2,10
