Basin_Subbasin ID   ,   Type  ,       Gauge             ,  Statistic  ,     Daily    ,    Monthly   ,   Yearly    
           8 , sub_cfs , AboveLosPadresReservoir , NSE TrLam    , 0.303897 , 0.402852 , -504.189942
           8 , sub_cfs , AboveLosPadresReservoir , MSE FDC      , 50562.994645 , 18855.175094 , 12300.177442
           8 , sub_cfs , AboveLosPadresReservoir , MSE FDCLog10 , 0.036563 , 0.031354 , 0.076917
           8 , sub_cfs , AboveLosPadresReservoir , MSE FDCTrLam , 0.284747 , 0.297116 , 0.802622
           8 , sub_cfs , AboveLosPadresReservoir , QPCorr       , 0.416089 , 0.427104 , 2.000000
           8 , sub_cfs , AboveLosPadresReservoir , MaxAbs PBias , 170.728810 , 48.690376 , 49.085231
           8 , sub_cfs , AboveLosPadresReservoir , MaxAbsPBiasL , 17.585508 , 12.575915 , 13.136583
           8 , sub_cfs , AboveLosPadresReservoir , Pct Mean Dif , -50.517591 , -48.690376 , -49.085231
           8 , sub_cfs , AboveLosPadresReservoir , Pct Var Diff , -23.002602 , -59.708774 , 16410.840152
           8 , sub_cfs , AboveLosPadresReservoir , Pct L10MeanD , -15.960896 , -12.575915 , -13.136583
           8 , sub_cfs , AboveLosPadresReservoir , Pct L10VarDf , -14.818424 , -14.638531 , 73110.392824
           8 , sub_cfs , AboveLosPadresReservoir , Pct LTrMeanD , -19.208866 , -16.159909 , -17.212043
           8 , sub_cfs , AboveLosPadresReservoir , Pct LTrVarDf , -24.472055 , -29.244861 , 46023.708077
           9 , sub_cfs , CachaguaCreek , MSE          , 2840.955351 , 862.675712 , 44.794895
           9 , sub_cfs , CachaguaCreek , MSE Log10    ,    NaN ,    NaN ,    NaN
           9 , sub_cfs , CachaguaCreek , MSE TrLam    , 4.888457 , 4.185955 , 1.094139
           9 , sub_cfs , CachaguaCreek , PBias        , 366.687214 , 363.332352 , 369.708658
           9 , sub_cfs , CachaguaCreek , PBias Log10  ,    NaN ,    NaN ,    NaN
           9 , sub_cfs , CachaguaCreek , PBias TrLam  , 89.874279 , 83.323978 , 49.104101
           9 , sub_cfs , CachaguaCreek , NSE          , -1.439120 , -1.124805 , 0.313493
           9 , sub_cfs , CachaguaCreek , NSE Log10    ,    NaN ,    NaN ,    NaN
           9 , sub_cfs , CachaguaCreek , NSE TrLam    , 0.570037 , 0.635928 , 0.745387
           9 , sub_cfs , CachaguaCreek , MSE FDC      , 1433.228321 , 575.071409 , 40.658628
           9 , sub_cfs , CachaguaCreek , MSE FDCLog10 ,    NaN ,    NaN ,    NaN
           9 , sub_cfs , CachaguaCreek , MSE FDCTrLam , 0.175720 , 0.162784 , 0.084493
           9 , sub_cfs , CachaguaCreek , QPCorr       , 0.396755 , 0.227515 , 0.121697
           9 , sub_cfs , CachaguaCreek , MaxAbs PBias ,    Inf ,    Inf ,    Inf
           9 , sub_cfs , CachaguaCreek , MaxAbsPBiasL ,    NaN ,    NaN ,    NaN
           9 , sub_cfs , CachaguaCreek , Pct Mean Dif , 366.687214 , 363.332352 , 369.708658
           9 , sub_cfs , CachaguaCreek , Pct Var Diff , 278.696461 , 334.538889 , 141.803168
           9 , sub_cfs , CachaguaCreek , Pct L10MeanD ,    NaN ,    NaN ,    NaN
           9 , sub_cfs , CachaguaCreek , Pct L10VarDf ,    NaN ,    NaN ,    NaN
           9 , sub_cfs , CachaguaCreek , Pct LTrMeanD , 89.874279 , 83.323978 , 49.104101
           9 , sub_cfs , CachaguaCreek , Pct LTrVarDf , -45.925447 , -51.108285 , -65.332767
          10 , sub_cfs , SanClementeCreek , MSE          , 570.606271 , 354.613377 , 53.906423
          10 , sub_cfs , SanClementeCreek , MSE Log10    ,    NaN , 0.566094 , 0.065933
          10 , sub_cfs , SanClementeCreek , MSE TrLam    , 4.690471 , 4.272171 , 1.150071
          10 , sub_cfs , SanClementeCreek , PBias        , -35.055968 , -35.380712 , -34.793965
          10 , sub_cfs , SanClementeCreek , PBias Log10  ,    NaN , 106.047477 , -6.700890
          10 , sub_cfs , SanClementeCreek , PBias TrLam  , 8.331927 , 6.365905 , -4.913667
          10 , sub_cfs , SanClementeCreek , NSE          , 0.568375 , 0.571208 , 0.534972
          10 , sub_cfs , SanClementeCreek , NSE Log10    ,    NaN , 0.436533 , 0.656353
          10 , sub_cfs , SanClementeCreek , NSE TrLam    , 0.591183 , 0.611209 , 0.655947
          10 , sub_cfs , SanClementeCreek , MSE FDC      , 350.448372 , 284.442200 , 52.026898
          10 , sub_cfs , SanClementeCreek , MSE FDCLog10 ,    NaN , 0.510395 , 0.061616
          10 , sub_cfs , SanClementeCreek , MSE FDCTrLam , 0.323188 , 0.305526 , 0.095981
          10 , sub_cfs , SanClementeCreek , QPCorr       , 0.182673 , 0.111030 , 0.057351
          10 , sub_cfs , SanClementeCreek , MaxAbs PBias , 4582.187077 , 1036.077947 , 333.174412
          10 , sub_cfs , SanClementeCreek , MaxAbsPBiasL , 149704.810213 , 961.842760 , 97.158374
          10 , sub_cfs , SanClementeCreek , Pct Mean Dif , -35.055968 , -35.380712 , -34.793965
          10 , sub_cfs , SanClementeCreek , Pct Var Diff , -74.834061 , -82.281633 , -87.890027
          10 , sub_cfs , SanClementeCreek , Pct L10MeanD ,    NaN , 106.047477 , -6.700890
          10 , sub_cfs , SanClementeCreek , Pct L10VarDf ,    NaN , -88.939463 , -79.624383
          10 , sub_cfs , SanClementeCreek , Pct LTrMeanD , 8.331927 , 6.365905 , -4.913667
          10 , sub_cfs , SanClementeCreek , Pct LTrVarDf , -76.495485 , -77.568612 , -79.402911
          11 , sub_cfs , GarzasCreekatGarzasRoad , MSE          , 490.559805 , 182.400127 , 23.757897
          11 , sub_cfs , GarzasCreekatGarzasRoad , MSE Log10    ,    NaN ,    NaN ,    NaN
          11 , sub_cfs , GarzasCreekatGarzasRoad , MSE TrLam    , 6.331796 , 6.085346 , 1.805880
          11 , sub_cfs , GarzasCreekatGarzasRoad , PBias        , -9.340078 , -10.276369 , -7.390680
          11 , sub_cfs , GarzasCreekatGarzasRoad , PBias Log10  ,    NaN ,    NaN ,    NaN
          11 , sub_cfs , GarzasCreekatGarzasRoad , PBias TrLam  , 41.872240 , 34.322620 , 4.802341
          11 , sub_cfs , GarzasCreekatGarzasRoad , NSE          , 0.563631 , 0.648911 , 0.620298
          11 , sub_cfs , GarzasCreekatGarzasRoad , NSE Log10    ,    NaN ,    NaN ,    NaN
          11 , sub_cfs , GarzasCreekatGarzasRoad , NSE TrLam    , 0.545529 , 0.566809 , 0.604571
          11 , sub_cfs , GarzasCreekatGarzasRoad , MSE FDC      , 292.672567 , 151.125368 , 21.164199
          11 , sub_cfs , GarzasCreekatGarzasRoad , MSE FDCLog10 ,    NaN ,    NaN ,    NaN
          11 , sub_cfs , GarzasCreekatGarzasRoad , MSE FDCTrLam , 0.470288 , 0.479998 , 0.146128
          11 , sub_cfs , GarzasCreekatGarzasRoad , QPCorr       , 0.188026 , 0.089306 , 0.086560
          11 , sub_cfs , GarzasCreekatGarzasRoad , MaxAbs PBias ,    Inf ,    Inf ,    Inf
          11 , sub_cfs , GarzasCreekatGarzasRoad , MaxAbsPBiasL ,    NaN ,    NaN ,    NaN
          11 , sub_cfs , GarzasCreekatGarzasRoad , Pct Mean Dif , -9.340078 , -10.276369 , -7.390680
          11 , sub_cfs , GarzasCreekatGarzasRoad , Pct Var Diff , -74.732593 , -76.390427 , -79.681640
          11 , sub_cfs , GarzasCreekatGarzasRoad , Pct L10MeanD ,    NaN ,    NaN ,    NaN
          11 , sub_cfs , GarzasCreekatGarzasRoad , Pct L10VarDf ,    NaN ,    NaN ,    NaN
          11 , sub_cfs , GarzasCreekatGarzasRoad , Pct LTrMeanD , 41.872240 , 34.322620 , 4.802341
          11 , sub_cfs , GarzasCreekatGarzasRoad , Pct LTrVarDf , -80.881047 , -82.317980 , -82.111490
          12 , sub_cfs , PineCreek , MSE          , 147.233147 , 82.541409 , 11.586652
          12 , sub_cfs , PineCreek , MSE Log10    ,    NaN ,    NaN , 0.066114
          12 , sub_cfs , PineCreek , MSE TrLam    , 3.775255 , 3.387506 , 0.691060
          12 , sub_cfs , PineCreek , PBias        , -37.331643 , -37.544229 , -36.987598
          12 , sub_cfs , PineCreek , PBias Log10  ,    NaN ,    NaN , -13.176218
          12 , sub_cfs , PineCreek , PBias TrLam  , 6.569481 , 4.943434 , -5.896145
          12 , sub_cfs , PineCreek , NSE          , 0.576064 , 0.610369 , 0.578863
          12 , sub_cfs , PineCreek , NSE Log10    ,    NaN ,    NaN , 0.645032
          12 , sub_cfs , PineCreek , NSE TrLam    , 0.575188 , 0.599068 , 0.671920
          12 , sub_cfs , PineCreek , MSE FDC      , 79.259403 , 63.605376 , 11.062502
          12 , sub_cfs , PineCreek , MSE FDCLog10 ,    NaN ,    NaN , 0.062534
          12 , sub_cfs , PineCreek , MSE FDCTrLam , 0.270715 , 0.249657 , 0.057658
          12 , sub_cfs , PineCreek , QPCorr       , 0.206093 , 0.110540 , 0.051800
          12 , sub_cfs , PineCreek , MaxAbs PBias ,    Inf ,    Inf , 462.976955
          12 , sub_cfs , PineCreek , MaxAbsPBiasL ,    NaN ,    NaN , 348.895827
          12 , sub_cfs , PineCreek , Pct Mean Dif , -37.331643 , -37.544229 , -36.987598
          12 , sub_cfs , PineCreek , Pct Var Diff , -68.522855 , -78.443602 , -85.383144
