,,,,,,,Carmel Valley,Hastings,Carmel Valley,Hastings,San Clemente,Carmel River at Lagoon ,Highway1Bridge         ,NearCarmel(USGS)       ,DonJuanBridge          ,RoblesdelRio(USGS)     ,PotreroCreek           ,RobinsonCanyonCreek    ,GarzasCreek(Canyon)    ,GarzasCreekatGarzasRoad,HitchcockCreek         ,TularcitosCreek        ,SleepyHollowWeir       ,SanClementeCreek       ,PineCreek              ,CachaguaCreek          ,BelowLosPadresReservoir,AboveLosPadresReservoir
,,,,,,,Tmax,Tmax,Tmin,Tmin,PPT,RUNOFF,RUNOFF,RUNOFF,RUNOFF,RUNOFF,RUNOFF,RUNOFF,RUNOFF,RUNOFF,RUNOFF,RUNOFF,RUNOFF,RUNOFF,RUNOFF,RUNOFF,RUNOFF,RUNOFF
6/7/2013,2013,6,7,0,0,0,81,97,50,60.1,0,,,,,,,,,,,,,,,,,
6/8/2013,2013,6,8,0,0,0,82.9,93.9,48.9,55.9,0,,,,,,,,,,,,,,,,,
6/9/2013,2013,6,9,0,0,0,81,75,55,48.9,0,,,,,,,,,,,,,,,,,
6/10/2013,2013,6,10,0,0,0,75,73,55.9,51.1,0,,,,,,,,,,,,,,,,,
6/11/2013,2013,6,11,0,0,0,73,75.9,55.9,50,0,,,,,,,,,,,,,,,,,
6/12/2013,2013,6,12,0,0,0,73.9,75.9,46,45,0,,,,,,,,,,,,,,,,,
6/13/2013,2013,6,13,0,0,0,73,75,39,43,0,,,,,,,,,,,,,,,,,
6/14/2013,2013,6,14,0,0,0,87.1,82,46,55,0,,,,,,,,,,,,,,,,,
6/15/2013,2013,6,15,0,0,0,81,73,46,52,0,,,,,,,,,,,,,,,,,
6/16/2013,2013,6,16,0,0,0,79,80.1,41,54,0,,,,,,,,,,,,,,,,,
6/17/2013,2013,6,17,0,0,0,75,75,45,51.1,0,,,,,,,,,,,,,,,,,
6/18/2013,2013,6,18,0,0,0,73,64.9,50,45,0,,,,,,,,,,,,,,,,,
6/19/2013,2013,6,19,0,0,0,70,68,45,43,0,,,,,,,,,,,,,,,,,
6/20/2013,2013,6,20,0,0,0,72,73.9,42.1,45,0,,,,,,,,,,,,,,,,,
6/21/2013,2013,6,21,0,0,0,75.9,80.1,42.1,48,0,,,,,,,,,,,,,,,,,
6/22/2013,2013,6,22,0,0,0,82.9,84.9,41,50,0,,,,,,,,,,,,,,,,,
6/23/2013,2013,6,23,0,0,0,75.9,69.1,48.9,57,0,,,,,,,,,,,,,,,,,
6/24/2013,2013,6,24,0,0,0,73,71.1,57,57.9,0,,,,,,,,,,,,,,,,,
6/25/2013,2013,6,25,0,0,0,84,81,57,57,0,,,,,,,,,,,,,,,,,
6/26/2013,2013,6,26,0,0,0,84.9,82,60.1,55.9,0,,,,,,,,,,,,,,,,,
6/27/2013,2013,6,27,0,0,0,88,88,57.9,59,0,,,,,,,,,,,,,,,,,
6/28/2013,2013,6,28,0,0,0,96.1,96.1,62.1,68,0,,,,,,,,,,,,,,,,,
6/29/2013,2013,6,29,0,0,0,98.1,95,64,72,0,,,,,,,,,,,,,,,,,
6/30/2013,2013,6,30,0,0,0,95,93.9,52,69.1,0,,,,,,,,,,,,,,,,,
7/1/2013,2013,7,1,0,0,0,91,100,54,71.1,0,,,,,,,,,,,,,,,,,
7/2/2013,2013,7,2,0,0,0,86,96.1,52,66.9,0,,,,,,,,,,,,,,,,,
7/3/2013,2013,7,3,0,0,0,89.1,96.1,53.1,61,0,,,,,,,,,,,,,,,,,
7/4/2013,2013,7,4,0,0,0,91,95,53.1,71.1,0,,,,,,,,,,,,,,,,,
7/5/2013,2013,7,5,0,0,0,78.1,78.1,48,46.9,0,,,,,,,,,,,,,,,,,
7/6/2013,2013,7,6,0,0,0,70,75.9,52,41,0,,,,,,,,,,,,,,,,,
7/7/2013,2013,7,7,0,0,0,77,82.9,52,41,0,,,,,,,,,,,,,,,,,
7/8/2013,2013,7,8,0,0,0,77,86,48.9,52,0,,,,,,,,,,,,,,,,,
7/9/2013,2013,7,9,0,0,0,86,97,46.9,61,0,,,,,,,,,,,,,,,,,
